"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","291","Изменение данных авторизованного пользователя","tests","Thu Mar 13 20:08:43 GMT+03:00 2025","passed","Thu Mar 13 20:08:43 GMT+03:00 2025","TestUpdateUserData","test_update_user_data","",""
"","88","Нельзя создать пользователя с незаполненным обязательным полем","tests","Thu Mar 13 20:08:36 GMT+03:00 2025","passed","Thu Mar 13 20:08:36 GMT+03:00 2025","TestCreateUser","test_create_user","",""
"","164","Ошибка авторизации с неверными данными","tests","Thu Mar 13 20:08:43 GMT+03:00 2025","passed","Thu Mar 13 20:08:43 GMT+03:00 2025","TestLoginUser","test_login","",""
"","94","Нельзя создать пользователя с незаполненным обязательным полем","tests","Thu Mar 13 20:08:37 GMT+03:00 2025","passed","Thu Mar 13 20:08:37 GMT+03:00 2025","TestCreateUser","test_create_user","",""
"","163","Успешная авторизация пользователя","tests","Thu Mar 13 20:08:41 GMT+03:00 2025","passed","Thu Mar 13 20:08:41 GMT+03:00 2025","TestLoginUser","test_login","",""
"","86","Создание заказа с неверным хешем ингредиентов","tests","Thu Mar 13 20:08:35 GMT+03:00 2025","passed","Thu Mar 13 20:08:35 GMT+03:00 2025","TestCrateOrder","test_create_order","",""
"","87","Попытка изменить данные без авторизации с ожиданием ошибки","tests","Thu Mar 13 20:08:46 GMT+03:00 2025","passed","Thu Mar 13 20:08:46 GMT+03:00 2025","TestUpdateUserData","test_update_user_data","",""
"","1","Пользователь создается успешно","tests","Thu Mar 13 20:08:36 GMT+03:00 2025","passed","Thu Mar 13 20:08:36 GMT+03:00 2025","TestCreateUser","test_create_user","",""
"","100","Ошибка авторизации с неверными данными","tests","Thu Mar 13 20:08:42 GMT+03:00 2025","passed","Thu Mar 13 20:08:42 GMT+03:00 2025","TestLoginUser","test_login","",""
"","296","Изменение данных авторизованного пользователя","tests","Thu Mar 13 20:08:45 GMT+03:00 2025","passed","Thu Mar 13 20:08:45 GMT+03:00 2025","TestUpdateUserData","test_update_user_data","",""
"","94","Создание заказа без ингредиентов","tests","Thu Mar 13 20:08:34 GMT+03:00 2025","passed","Thu Mar 13 20:08:34 GMT+03:00 2025","TestCrateOrder","test_create_order","",""
"","2053","Создание заказа с авторизацией","tests","Thu Mar 13 20:08:30 GMT+03:00 2025","passed","Thu Mar 13 20:08:32 GMT+03:00 2025","TestCrateOrder","test_create_order","",""
"","90","Попытка изменить данные без авторизации с ожиданием ошибки","tests","Thu Mar 13 20:08:46 GMT+03:00 2025","passed","Thu Mar 13 20:08:46 GMT+03:00 2025","TestUpdateUserData","test_update_user_data","",""
"","101","Ошибка авторизации с неверными данными","tests","Thu Mar 13 20:08:42 GMT+03:00 2025","passed","Thu Mar 13 20:08:43 GMT+03:00 2025","TestLoginUser","test_login","",""
"","91","Нельзя создать пользователя с незаполненным обязательным полем","tests","Thu Mar 13 20:08:36 GMT+03:00 2025","passed","Thu Mar 13 20:08:37 GMT+03:00 2025","TestCreateUser","test_create_user","",""
"","85","Получение заказов без авторизации","tests","Thu Mar 13 20:08:41 GMT+03:00 2025","passed","Thu Mar 13 20:08:41 GMT+03:00 2025","TestGetUserOrders","test_get_user_orders","",""
"","90","Нельзя создать двух одинаковых пользователей","tests","Thu Mar 13 20:08:36 GMT+03:00 2025","passed","Thu Mar 13 20:08:36 GMT+03:00 2025","TestCreateUser","test_create_user","",""
"","97","Создание заказа без авторизации","tests","Thu Mar 13 20:08:33 GMT+03:00 2025","passed","Thu Mar 13 20:08:33 GMT+03:00 2025","TestCrateOrder","test_create_order","",""
"","164","Ошибка авторизации с неверными данными","tests","Thu Mar 13 20:08:42 GMT+03:00 2025","passed","Thu Mar 13 20:08:42 GMT+03:00 2025","TestLoginUser","test_login","",""
"","2585","Получение заказов авторизованного пользователя","tests","Thu Mar 13 20:08:37 GMT+03:00 2025","passed","Thu Mar 13 20:08:40 GMT+03:00 2025","TestGetUserOrders","test_get_user_orders","",""
"","88","Попытка изменить данные без авторизации с ожиданием ошибки","tests","Thu Mar 13 20:08:46 GMT+03:00 2025","passed","Thu Mar 13 20:08:46 GMT+03:00 2025","TestUpdateUserData","test_update_user_data","",""
"","98","Попытка обновить email на уже существующий","tests","Thu Mar 13 20:08:46 GMT+03:00 2025","passed","Thu Mar 13 20:08:47 GMT+03:00 2025","TestUpdateUserData","test_update_user_data","",""
